,job_title,frequency,job_category
7243,School assistance,4,education assistant
49603,IT Enabler,4,Unclassified
74077,None,4,No description
45811,Assistant teacher ,4,tutor
42494,Cashier,4,cashier
43962,Cashier ,4,cashier
10996,Shop assistant cashier ,4,cashier
152598,Educator assistant,4,education assistant
200331,Sales agent,4,sales assistant
42088,Teachers Assistant ,4,tutor
89577,Teacher assistant ,4,tutor
4870,Store Associate,4,sales assistant
6243,Constable ,4,Unclassified
69095,Teachers assistant ,4,tutor
46088,Sales assistant,4,sales assistant
121360,DSAC Artist,4,Unclassified
45887,Work intergrated learning ,4,Unclassified
161467,EA,4,Unclassified
74093,Assistant Manager ,4,manager
125502,Sales consultant ,4,sales assistant
73919,General assistant,4,education assistant
8485,Not working ,4,Unclassified
90594,Assistant teacher,4,tutor
159685,Cleaner,4,cleaner
85178,Educational assistant ,4,education assistant
123149,General assistant,4,education assistant
50642,School Assistant,4,education assistant
7531,General worker,4,general worker
42338,Cleaner,4,cleaner
125792,Maths coach,4,Unclassified
129170,Practitioner,4,Unclassified
121210,Cashier ,4,cashier
73745,Cleaning,4,cleaner
123503,Cashier,4,cashier
45284,Sales Associate ,4,sales assistant
50684,Selling clothes,4,sales assistant
43307,Queue Marshall ,4,Unclassified
47128,Cashier,4,cashier
8767,Educational Assistant ,4,education assistant
73353,Constable,4,Unclassified
5855,cashier,4,cashier
83988,General assistant,4,education assistant
